name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại OPPO A38 6GB/128GB,Màu: Vàng đồng,2.990.000₫,4.490.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2024/11/23/0_45624779_oppoa386gbvangdong_1732351951553.jpg,Chính hãng đến 08/11/2025,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại Samsung Galaxy M34 5G 8GB/128GB,Màu: Xanh nhạt,5.010.000₫,7.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/18/0_46092678_samsunggalaxym345gm346b18g128gbxanhnhat_1742278744162.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Exynos 1280 8 nhân,8 GB,128 GB,6000 mAh
Điện thoại Samsung Galaxy M34 5G 8GB/128GB,Màu: Xanh nhạt,5.010.000₫,7.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46092828_samsunggalaxym345gm346b18g128gbxanhnhat_1742545885349.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Exynos 1280 8 nhân,8 GB,128 GB,6000 mAh
Điện thoại Samsung Galaxy M34 5G 8GB/128GB,Màu: Xanh nhạt,5.010.000₫,7.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/06/0_45204783_samsunggalaxym345gm346b18g128gbxanhnhat_1743943991129.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp, Cây lấy sim, Cáp Type C - Type C",Exynos 1280 8 nhân,8 GB,128 GB,6000 mAh
Điện thoại TCL 406s 4GB/64GB,Màu: Xanh,1.390.000₫,2.190.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46256473_tcl406s464gbxanh_1744964271225.jpg,Chính hãng đến 12/09/2026,Có trầy xước,"Hộp, Sách hướng dẫn, Ốp lưng, Cáp Type C - Type C, Củ sạc nhanh rời đầu Type C",MediaTek MT6762 8 nhân (Helio P22),4 GB,64 GB,5000 mAh
Điện thoại TCL 406s 4GB/64GB,Màu: Xám,1.440.000₫,2.190.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/08/0_46215293_tcl406s464gbxam_1744120567536.jpg,Chính hãng đến 22/08/2026,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Củ sạc nhanh rời đầu Type C",MediaTek MT6762 8 nhân (Helio P22),4 GB,64 GB,5000 mAh
Điện thoại TCL 406s 4GB/64GB,Màu: Xám,1.670.000₫,2.190.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/24/0_46287782_tcl406s464gbxam_1745489958417.jpg,Chính hãng đến 24/05/2026,Có trầy xước,Ốp lưng,MediaTek MT6762 8 nhân (Helio P22),4 GB,64 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.430.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/24/4_46018071_realmenote606128gbden_1745491808652.jpg,Chính hãng đến 05/10/2025,Có trầy xước,"Cây lấy sim,Ốp lưng,Cáp Type C - Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Xanh,2.440.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/03/0_45706140_realmenote606128gbxanh_1740974634546.jpg,Chính hãng đến 11/10/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.480.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/08/0_46057870_realmenote606128gbden_1741404466305.jpg,Chính hãng đến 28/11/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Đen,2.490.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/19/0_46220770_realmenote606128gbden_1745040555578.jpg,Chính hãng đến 15/12/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
Điện thoại realme Note 60 6GB/128GB,Màu: Xanh,2.510.000₫,3.790.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/02/06/0_45916198_realmenote606128gbxanh_1738818808979.jpg,Chính hãng đến 27/12/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Unisoc Tiger T612,6 GB,128 GB,5000 mAh
,,,,,,,,,,,
