name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/20/0_46239796_vivoy17s6128xanhden_1745111966665.jpg,1 tháng tại TGDĐ,Có trầy xước,"Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240492_vivoy17s6128xanhden_1744938699125.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/4_46240306_vivoy17s6128xanhden_1744983420311.jpg,1 tháng tại TGDĐ,Có trầy xước,"Ốp lưng,Hộp,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused/posused/2025/04/19/0_46240234_vivoy17s6128xanhden_1745049774078.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/4_46240114_vivoy17s6128xanhden_1745319994450.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/5_46239928_vivoy17s6128xanhden_1745300652485.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/24/0_46239826_vivoy17s6128xanhden_1745473344176.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/5_46224460_vivoy17s6128xanhden_1744689520075.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/24/3_46240474_vivoy17s6128xanhden_1745487871205.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/23/2_46239964_vivoy17s6128xanhden_1745412656748.jpg,1 tháng tại TGDĐ,Có trầy xước,"Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/21/4_46240006_vivoy17s6128xanhden_1745235241050.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/0_46224442_vivoy17s6128xanhden_1744701075348.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/15/0_46224478_vivoy17s6128xanhden_1744681695817.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/21/2_46240078_vivoy17s6128xanhden_1745222330513.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240247_vivoy17s6128xanhden_1744973736942.jpg,1 tháng tại TGDĐ,Có trầy xước,"Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240295_vivoy17s6128xanhden_1744962040477.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/16/0_46240097_vivoy17s6128xanhden_1744795332364.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240493_vivoy17s6128xanhden_1744938267448.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/17/2_46239971_vivoy17s6128xanhden_1744901460116.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/6_46240301_vivoy17s6128xanhden_1745289173945.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/3_46239737_vivoy17s6128xanhden_1745311989104.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240451_vivoy17s6128xanhden_1744966075840.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/9_46239731_vivoy17s6128xanhden_1745312441206.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240235_vivoy17s6128xanhden_1744971694636.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46240517_vivoy17s6128xanhden_1744978042616.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/20/0_46239797_vivoy17s6128xanhden_1745112133509.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/22/1_46240403_vivoy17s6128xanhden_1745291612507.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
Điện thoại vivo Y17s 6GB/128GB,Màu: Xanh đen,2.870.000₫,3.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/20/0_46239791_vivoy17s6128xanhden_1745111411793.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Cáp Type C - Type A,Củ sạc rời đầu Type A",MediaTek Helio G85 8 nhân,6 GB,128 GB,5000 mAh
