name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,battery
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/02/0_46143187_samsunggalaxyzfold6f956b12g256gbxam_1743605304494.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46124869_samsunggalaxyzfold6f956b12g256gbxam_1742544099985.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/24/0_46126861_samsunggalaxyzfold6f956b12g256gbxam_1742803200522.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46125850_samsunggalaxyzfold6f956b12g256gbxam_1742560526028.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/18/0_46235347_samsunggalaxyzfold6f956b12g256gbxam_1744959389634.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/22/0_46128595_samsunggalaxyzfold6f956b12g256gbxam_1742642116948.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/23/0_46127923_samsunggalaxyzfold6f956b12g256gbxam_1742700029672.jpg,1 tháng tại TGDĐ,Có trầy xước,"Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46125082_samsunggalaxyzfold6f956b12g256gbxam_1742547970171.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/23/0_46127712_samsunggalaxyzfold6f956b12g256gbxam_1742713402808.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
Điện thoại Samsung Galaxy Z Fold6 5G 12GB/256GB,Màu: Xám,26.000.000₫,43.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/21/0_46125377_samsunggalaxyzfold6f956b12g256gbxam_1742551149500.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Hộp,Cáp Type C - Type C",Snapdragon 8 Gen 3 for Galaxy,12 GB,256 GB,4400 mAh
