name,color,price_old,price_new,image,warranty,condition,accessories,CPU,RAM,capacity,time,battery
Điện thoại OPPO A98 5G 8GB/256GB,Màu: Xanh Dương,4.860.000₫,8.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/01/0_46025908_oppoa98xanh_1740812936620.jpg,1 tháng tại TGDĐ,Có trầy xước,"Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 695 5G 8 nhân,8 GB,256 GB,06/2023,5000 mAh
Điện thoại OPPO A98 5G 8GB/256GB,Màu: Đen,4.860.000₫,8.990.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/15/0_46027144_oppoa98den_1742007981209.jpg,1 tháng tại TGDĐ,Có trầy xước,"Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 695 5G 8 nhân,8 GB,256 GB,06/2023,5000 mAh
,,,,,,,,,,,,
Điện thoại vivo V30e 5G 12GB/256GB,Màu: Nâu,5.680.000₫,10.490.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/11/0_45773256_vivov30e12256naudo_1744380778767.jpg,Chính hãng đến 22/12/2025,Có trầy xước,"Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,05/2024,5500 mAh
Điện thoại vivo V30e 5G 12GB/256GB,Màu: Trắng,5.680.000₫,10.490.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/01/26/0_45901714_vivov30e12256trang_1737902607948.jpg,Chính hãng đến 22/12/2025,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,05/2024,5500 mAh
Điện thoại vivo V30e 5G 12GB/256GB,Màu: Nâu,5.740.000₫,10.490.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/06/0_46178390_vivov30e12256naudo_1743910702722.jpg,Chính hãng đến 22/01/2026,Có trầy xước,"Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,05/2024,5500 mAh
Điện thoại vivo V30e 5G 12GB/256GB,Màu: Nâu,5.800.000₫,10.490.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/30/0_46159275_vivov30e12256naudo_1743324862719.jpg,Chính hãng đến 21/02/2026,Có trầy xước,"Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,05/2024,5500 mAh
Điện thoại vivo V30e 5G 12GB/256GB,Màu: Nâu,5.800.000₫,10.490.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/29/0_46147973_vivov30e12256naudo_1743231818085.jpg,Chính hãng đến 21/02/2026,Có trầy xước,"Hộp, Cây lấy sim, Ốp lưng, Cáp Type C - Type A, Củ sạc nhanh rời đầu Type A",Snapdragon 6 Gen 1 8 nhân,12 GB,256 GB,05/2024,5500 mAh
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Màu: Vàng,2.840.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/03/31/0_45806258_xiaomiredminote138128gvang_1743433465382.jpg,1 tháng tại TGDĐ,Có trầy xước,"Sách hướng dẫn,Cây lấy sim,Ốp lưng,Hộp,Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 685 8 nhân,8 GB,128 GB,01/2024,5000 mAh
Điện thoại Xiaomi Redmi Note 13 8GB/128GB,Màu: Đen,3.180.000₫,5.290.000₫,https://cdnv2.tgdd.vn/posimageused//posused/2025/04/24/0_46082760_xiaomiredminote138128gden_1745490493133.jpg,Chính hãng đến 09/04/2026,Có trầy xước,"Cáp Type C - Type A,Củ sạc nhanh rời đầu Type A",Snapdragon 685 8 nhân,8 GB,128 GB,01/2024,5000 mAh
