iter	R2	RMSE
231	0.9965558401	401.8180673
232	0.9965568181	401.7610136
233	0.9965569515	401.7532284
234	0.9965584734	401.6644278
235	0.9965593288	401.6145075
236	0.9965626787	401.4189541
237	0.9965642767	401.3256293
238	0.9965655774	401.2496588
239	0.996566697	401.1842474
240	0.9965687682	401.0632187
241	0.996570278	400.9749721
242	0.9965720477	400.8715092
243	0.9965735526	400.7835098
244	0.9965755174	400.6685817
245	0.9965763806	400.6180811
246	0.9965779082	400.5286954
247	0.996579544	400.4329549
248	0.9965802576	400.3911826
249	0.9965820269	400.2875935
250	0.9965830991	400.2248045
251	0.996585369	400.0918408
252	0.9965861602	400.0454862
253	0.996587816	399.9484607
254	0.9965884038	399.9140106
255	0.9965884808	399.909498
256	0.9965891342	399.8711997
257	0.9965903149	399.8019845
258	0.9965921911	399.6919713
259	0.9965937659	399.5996064
260	0.9965946759	399.5462286
261	0.996596286	399.4517608
262	0.9965979601	399.3535138
263	0.996599298	399.2749771
264	0.9966004308	399.2084754
265	0.9966007543	399.1894763
266	0.9966023145	399.0978564
267	0.9966040965	398.9931823
268	0.9966057157	398.8980507
269	0.9966067626	398.8365285
270	0.9966082315	398.7501977
271	0.9966096326	398.6678247
272	0.9966114071	398.5634814
273	0.9966130293	398.4680696
274	0.9966138899	398.4174459
275	0.9966143006	398.3932788
276	0.9966157638	398.3071827
277	0.9966164784	398.265132
278	0.9966166791	398.2533188
279	0.996617609	398.1985832
280	0.9966191267	398.1092366
281	0.9966199585	398.060259
282	0.9966213159	397.9803272
283	0.9966217819	397.952879
284	0.9966227281	397.8971428
285	0.9966229521	397.8839497
286	0.9966242815	397.8056223
287	0.9966252247	397.7500463
288	0.9966259993	397.7043985
289	0.9966275245	397.6144954
290	0.9966282706	397.5705124
291	0.9966292071	397.5152929
292	0.9966297411	397.4838058
293	0.9966303427	397.4483288
294	0.9966310655	397.4056972
295	0.9966318179	397.3613225
296	0.996633359	397.2704027
297	0.9966338359	397.2422628
298	0.9966341838	397.2217373
299	0.996634709	397.1907419
300	0.9966348799	397.1806571
301	0.9966358634	397.1226167
302	0.9966362397	397.1004048
303	0.9966370687	397.0514689
304	0.9966382307	396.9828658
305	0.9966392983	396.9198228
306	0.9966403808	396.8558955
307	0.996641017	396.8183148
308	0.9966418769	396.7675208
309	0.996642748	396.7160563
310	0.9966436968	396.6599924
311	0.9966441738	396.6318042
312	0.9966446491	396.6037192
313	0.9966454992	396.5534738
314	0.9966460691	396.5197844
315	0.9966465917	396.4888905
316	0.9966467206	396.4812725
317	0.9966475442	396.4325805
318	0.9966484606	396.3783924
319	0.9966489875	396.3472315
320	0.9966496825	396.3061286
321	0.9966500619	396.2836887
322	0.9966507357	396.2438318
323	0.9966512691	396.2122791
324	0.9966518488	396.1779839
325	0.9966524677	396.1413665
326	0.9966527319	396.1257338
327	0.9966532828	396.0931348
328	0.9966538288	396.0608253
329	0.9966543673	396.0289537
330	0.9966550473	395.988705
331	0.9966557445	395.9474364
332	0.9966564149	395.9077479
333	0.9966571682	395.8631439
334	0.9966575603	395.839928
335	0.9966582248	395.8005789
336	0.9966587928	395.7669401
337	0.9966594209	395.7297369
338	0.9966599877	395.696162
339	0.9966601769	395.6849588
340	0.9966606623	395.6562049
341	0.996661031	395.6343574
342	0.9966610677	395.6321855
343	0.996661569	395.6024815
344	0.9966615982	395.6007537
345	0.9966617804	395.5899587
346	0.9966625549	395.5440627
347	0.9966628944	395.5239455
348	0.9966631603	395.5081903
349	0.9966635344	395.48602
350	0.9966640094	395.4578639
351	0.9966642878	395.4413647
352	0.9966647912	395.4115228
353	0.9966654263	395.373876
354	0.9966659604	395.3422096
355	0.9966664875	395.3109556
356	0.9966667766	395.2938141
357	0.9966672512	395.2656696
358	0.9966676459	395.2422631
359	0.9966679429	395.2246505
360	0.9966683692	395.1993677
361	0.9966690795	395.1572384
362	0.9966695008	395.1322496
363	0.9966707263	395.0595421
364	0.9966710941	395.0377194
365	0.9966718109	394.9951852
366	0.9966731988	394.9128214
367	0.9966734892	394.8955831
368	0.9966740803	394.8604949
369	0.9966743636	394.8436773
370	0.9966748463	394.8150206
371	0.9966760179	394.7454624
372	0.9966763279	394.7270531
373	0.9966769461	394.6903415
374	0.9966773298	394.6675537
375	0.9966775677	394.6534277
376	0.9966778183	394.6385422
377	0.9966781486	394.6189221
378	0.9966783038	394.6097047
379	0.9966788953	394.5745667
380	0.996679422	394.5432772
381	0.9966796307	394.5308813
382	0.9966800037	394.5087205
383	0.9966801881	394.4977633
384	0.9966804426	394.4826417
385	0.9966807696	394.4632121
386	0.9966812048	394.4373527
387	0.996681452	394.4226645
388	0.9966816501	394.4108876
389	0.996681841	394.3995443
390	0.996682076	394.385579
391	0.9966822572	394.3748079
392	0.9966823784	394.3676042
393	0.9966824988	394.3604485
394	0.9966827632	394.3447319
395	0.996682856	394.3392171
396	0.9966831359	394.3225822
397	0.9966832674	394.3147634
398	0.9966835753	394.2964614
399	0.9966836558	394.2916731
400	0.9966839151	394.2762624
401	0.9966843493	394.2504475
402	0.9966847754	394.2251111
403	0.9966850195	394.2106009
404	0.9966852682	394.1958116
405	0.9966854796	394.1832413
406	0.9966859362	394.156087
407	0.9966863032	394.1342619
408	0.9966867718	394.1063966
409	0.9966870232	394.09144
410	0.9966872911	394.0755066
411	0.9966875739	394.0586866
412	0.9966878983	394.0393938
413	0.9966883283	394.0138109
414	0.9966886312	393.9957937
415	0.9966888979	393.9799264
416	0.9966891328	393.9659506
417	0.9966893838	393.9510187
418	0.9966896056	393.9378174
419	0.9966898615	393.9225949
420	0.9966899082	393.9198128
421	0.9966901285	393.9067068
422	0.996690353	393.8933476
423	0.9966905432	393.8820293
424	0.9966907716	393.8684345
425	0.9966910447	393.8521829
426	0.996691239	393.8406178
427	0.9966914759	393.8265195
428	0.9966915857	393.8199866
429	0.9966917993	393.80727
430	0.9966921982	393.7835264
431	0.9966923835	393.7725006
432	0.9966925268	393.7639673
433	0.9966928698	393.7435538
434	0.99669318	393.7250824
435	0.9966933946	393.712312
436	0.9966935647	393.7021805
437	0.9966937733	393.6897619
438	0.996694028	393.6745968
439	0.9966942187	393.6632418
440	0.9966945966	393.6407428
441	0.9966948029	393.6284581
442	0.9966949307	393.6208464
443	0.9966953269	393.5972536
444	0.9966954959	393.5871881
445	0.996695627	393.5793852
446	0.9966956938	393.5754062
447	0.9966958387	393.5667729
448	0.9966961257	393.5496788
449	0.9966963523	393.5361837
450	0.9966965342	393.5253502
451	0.9966967536	393.5122829
452	0.9966969604	393.4999641
453	0.9966969787	393.4988744
454	0.9966972289	393.4839684
455	0.9966974874	393.4685735
456	0.9966977	393.4559045
457	0.9966978092	393.4493987
458	0.996697836	393.4478045
459	0.9966979711	393.4397544
460	0.9966980665	393.4340735
461	0.9966982698	393.4219589
462	0.9966985364	393.4060761
463	0.9966986812	393.3974471
464	0.9966988212	393.3891077
465	0.9966990362	393.3762976
466	0.996699143	393.3699311
467	0.9966992712	393.3622968
468	0.9966993354	393.3584702
469	0.9966994906	393.3492187
470	0.9966996212	393.3414385
471	0.9966997153	393.3358312
472	0.9966998759	393.3262595
473	0.9966999269	393.3232243
474	0.9967000492	393.315936
475	0.996700119	393.3117727
476	0.9967002671	393.3029465
477	0.9967003601	393.2974053
478	0.9967004681	393.2909703
479	0.9967006306	393.2812819
480	0.996700709	393.2766102
481	0.9967008314	393.2693174
482	0.9967011332	393.2513274
483	0.9967013179	393.2403204
484	0.9967015583	393.22599
485	0.9967017271	393.2159262
486	0.9967018045	393.2113162
487	0.9967019117	393.2049246
488	0.9967022075	393.1872917
489	0.9967024087	393.175298
490	0.9967025427	393.1673098
491	0.9967026959	393.1581746
492	0.9967028725	393.147647
493	0.9967030095	393.1394757
494	0.9967032211	393.1268627
495	0.9967032817	393.1232506
496	0.9967035934	393.1046629
497	0.9967038325	393.0904036
498	0.9967039923	393.0808786
499	0.9967040615	393.0767479
500	0.996704092	393.0749298
501	0.9967042444	393.0658411
502	0.996704386	393.0574002
503	0.9967046351	393.0425421
504	0.9967048143	393.0318583
505	0.9967049716	393.0224769
506	0.9967050894	393.0154538
507	0.9967052278	393.0071981
508	0.996705371	392.9986587
509	0.9967056811	392.9801623
510	0.9967057525	392.9759036
511	0.9967058029	392.9728989
512	0.9967059254	392.9655911
513	0.9967060753	392.9566475
514	0.9967063013	392.9431647
515	0.9967063376	392.9410023
516	0.9967064544	392.9340322
517	0.9967065498	392.9283468
518	0.9967066565	392.9219784
519	0.9967067594	392.9158412
520	0.9967069042	392.9072054
521	0.9967070663	392.8975298
522	0.9967071487	392.8926169
523	0.9967073182	392.8825012
524	0.9967074179	392.8765572
525	0.9967075378	392.8694045
526	0.9967076084	392.8651886
527	0.9967076945	392.8600508
528	0.9967077627	392.8559831
529	0.9967078758	392.8492359
530	0.9967079691	392.8436697
531	0.9967081366	392.8336764
532	0.9967083302	392.8221239
533	0.9967085017	392.8118894
534	0.9967086909	392.8005999
535	0.9967089261	392.7865659
536	0.9967091687	392.7720883
537	0.9967093298	392.7624749
538	0.9967094914	392.7528299
539	0.996709603	392.7461682
540	0.9967096772	392.7417416
541	0.9967098706	392.7301985
542	0.9967099679	392.7243925
543	0.9967100421	392.7199634
544	0.9967101284	392.7148125
545	0.9967102048	392.7102537
546	0.9967102789	392.7058307
547	0.9967103259	392.7030257
548	0.9967103564	392.701206
549	0.9967103838	392.6995673
550	0.996710479	392.6938864
551	0.9967105707	392.6884144
552	0.996710638	392.6843937
553	0.9967107548	392.6774229
554	0.9967109278	392.6670975
555	0.9967109695	392.6646087
556	0.9967111465	392.6540385
557	0.9967112197	392.6496711
558	0.9967112725	392.6465173
559	0.9967113219	392.6435725
560	0.9967113778	392.6402363
561	0.9967114399	392.6365258
562	0.9967114961	392.6331711
563	0.9967116365	392.6247873
564	0.9967116642	392.6231336
565	0.9967117262	392.6194375
566	0.9967118846	392.6099772
567	0.9967120531	392.599919
568	0.9967121058	392.5967706
569	0.9967121407	392.59469
570	0.9967122009	392.5910967
571	0.9967123128	392.5844146
572	0.9967123404	392.5827656
573	0.9967123861	392.5800342
574	0.9967124403	392.5768036
575	0.9967126158	392.5663232
576	0.9967127371	392.5590769
577	0.9967127768	392.5567106
578	0.9967128144	392.5544627
579	0.9967128807	392.5505045
580	0.9967129204	392.548135
581	0.9967130264	392.5418069
582	0.9967130392	392.5410382
583	0.9967130845	392.5383384
584	0.9967131427	392.5348585
585	0.9967131794	392.5326705
586	0.9967132184	392.5303414
587	0.9967132872	392.5262302
588	0.9967134966	392.5137308
589	0.9967135883	392.5082542
590	0.9967136778	392.5029057
591	0.9967137043	392.5013235
592	0.9967137376	392.4993333
593	0.9967138384	392.4933165
594	0.9967139078	392.4891732
595	0.9967139408	392.4872033
596	0.9967140128	392.4829001
597	0.9967140257	392.4821321
598	0.9967140826	392.4787355
599	0.9967142531	392.4685492
600	0.9967142995	392.4657788
601	0.9967143459	392.4630103
602	0.9967144328	392.4578181
603	0.9967144774	392.4551549
604	0.9967145349	392.4517213
605	0.9967145788	392.4490978
606	0.9967146139	392.447
607	0.9967146419	392.445331
608	0.9967149292	392.4281665
609	0.9967150515	392.4208619
610	0.9967151045	392.4177014
611	0.9967151292	392.4162253
612	0.9967151865	392.4128019
613	0.9967152172	392.4109696
614	0.9967152457	392.4092657
615	0.9967153004	392.4059955
616	0.9967153395	392.403661
617	0.9967153846	392.4009671
618	0.9967154188	392.3989232
619	0.9967154829	392.3950933
620	0.9967155727	392.389733
621	0.9967156199	392.3869116
622	0.9967156638	392.3842905
623	0.9967157032	392.381934
624	0.9967157112	392.3814567
625	0.9967158136	392.3753398
626	0.9967158347	392.3740791
627	0.996715899	392.370239
628	0.9967159222	392.368854
629	0.9967159608	392.3665461
630	0.9967160738	392.3597986
631	0.9967161038	392.358004
632	0.9967161837	392.3532341
633	0.9967162269	392.3506485
634	0.99671628	392.3474785
635	0.9967163218	392.3449821
636	0.9967164833	392.3353323
637	0.9967165609	392.3306953
638	0.9967165907	392.3289165
639	0.9967166085	392.3278511
640	0.9967167101	392.3217806
641	0.9967167377	392.3201358
642	0.9967167663	392.3184251
643	0.9967168002	392.3163981
644	0.9967168574	392.3129826
645	0.9967169334	392.308442
646	0.9967169455	392.3077186
647	0.996717013	392.3036876
648	0.996717037	392.3022551
649	0.9967171111	392.2978264
650	0.9967171644	392.2946378
651	0.996717221	392.2912607
652	0.9967173106	392.2859021
653	0.9967173379	392.2842764
654	0.9967173987	392.2806412
655	0.9967174252	392.2790582
656	0.9967174545	392.2773093
657	0.996717538	392.2723195
658	0.9967175925	392.2690612
659	0.9967176039	392.2683795
660	0.9967176664	392.264645
661	0.9967176971	392.2628119
662	0.9967177097	392.2620559
663	0.9967177484	392.2597475
664	0.9967178587	392.2531512
665	0.9967179197	392.2495107
666	0.9967179883	392.2454078
667	0.9967180305	392.242889
668	0.9967180565	392.2413368
669	0.9967180694	392.2405624
670	0.9967181047	392.2384542
671	0.9967181615	392.2350617
672	0.9967181878	392.2334868
673	0.9967182807	392.2279386
674	0.9967183139	392.2259518
675	0.9967183457	392.22405
676	0.9967183882	392.2215123
677	0.9967184088	392.2202832
678	0.9967184751	392.2163195
679	0.9967185563	392.2114665
680	0.9967185852	392.2097376
681	0.9967185993	392.2088974
682	0.9967186426	392.2063117
683	0.9967186543	392.2056084
684	0.9967186776	392.2042181
685	0.9967187168	392.2018731
686	0.9967187583	392.1993921
687	0.9967187942	392.1972469
688	0.9967188149	392.1960102
689	0.9967188747	392.1924406
690	0.9967189313	392.189053
691	0.9967189775	392.1862954
692	0.9967190329	392.1829848
693	0.9967190615	392.1812726
694	0.9967191164	392.1779941
695	0.9967191338	392.1769521
696	0.9967191728	392.1746225
697	0.9967192174	392.1719573
698	0.9967192481	392.170123
699	0.9967193068	392.1666123
700	0.9967193493	392.1640714
701	0.9967193672	392.1630034
702	0.9967193896	392.1616638
703	0.9967194059	392.1606911
704	0.9967194334	392.1590454
705	0.9967194801	392.1562533
706	0.9967195072	392.1546324
707	0.9967195448	392.1523848
708	0.9967195701	392.1508774
709	0.996719594	392.1494466
710	0.9967196087	392.1485694
711	0.9967196215	392.1478034
712	0.9967196558	392.1457511
713	0.9967196723	392.1447669
714	0.9967197281	392.1414312
715	0.9967197637	392.1393034
716	0.9967197738	392.1386983
717	0.9967198037	392.1369134
718	0.996719851	392.1340852
719	0.996719867	392.1331306
720	0.9967198835	392.1321393
721	0.9967199028	392.1309877
722	0.9967199519	392.1280549
723	0.9967199787	392.1264506
724	0.9967199845	392.1261034
725	0.9967200139	392.1243502
726	0.9967200577	392.1217289
727	0.9967200779	392.1205218
728	0.9967201082	392.1187099
729	0.9967201356	392.117075
730	0.9967201526	392.1160556
731	0.9967201861	392.1140531
732	0.9967201998	392.1132339
733	0.9967202143	392.1123672
734	0.9967202149	392.1123326
735	0.9967203151	392.1063432
736	0.9967203572	392.1038244
737	0.996720375	392.1027595
738	0.9967203982	392.101377
739	0.9967204117	392.1005687
740	0.9967204235	392.0998623
741	0.996720451	392.0982178
742	0.996720481	392.0964279
743	0.9967205131	392.0945075
744	0.9967205261	392.0937302
745	0.9967205628	392.0915363
746	0.9967205796	392.0905299
747	0.9967206097	392.088731
748	0.9967206321	392.0873902
749	0.99672066	392.085723
750	0.996720675	392.0848307
751	0.9967206951	392.0836245
752	0.9967207081	392.0828521
753	0.99672074	392.0809431
754	0.9967207663	392.0793717
755	0.996720788	392.07807
756	0.9967208066	392.0769636
757	0.996720829	392.0756244
758	0.9967208451	392.0746604
759	0.996720854	392.0741247
760	0.9967209006	392.0713398
