,name,brand,condition,price_new,RAM,capacity,battery,screen_size,weight,bluetooth,refresh_rate,GPU,resolution_width,resolution_height,has_esim,height,width,depth,time_difference,os,chip,Cluster,price_old
10243,128,3,2,7990.0,8.0,256.0,5000.0,6.7,200.0,3.6,120.0,1,1080.0,2340.0,0.0,164.0,77.5,7.7,67.0,0,1,0,5670.0
4465,210,2,2,4290.0,6.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2590.0
7982,29,3,2,31990.0,8.0,256.0,4674.0,6.3,199.0,3.6,120.0,2,1206.0,2622.0,1.0,149.6,71.5,8.25,279.0,3,0,1,26420.0
7724,212,2,2,2990.0,4.0,128.0,5000.0,6.71,193.0,3.6,90.0,1,720.0,1650.0,0.0,168.3,76.3,8.32,463.0,0,4,0,1760.0
4111,25,3,2,22990.0,6.0,128.0,4383.0,6.7,201.0,3.6,60.0,2,1290.0,2796.0,1.0,160.9,77.8,7.8,645.0,3,0,2,15110.0
11773,202,2,2,13990.0,12.0,512.0,5000.0,6.67,195.0,3.8,144.0,1,1220.0,2712.0,1.0,160.5,75.1,7.8,279.0,0,4,2,9510.0
2564,150,3,2,26990.0,12.0,256.0,4900.0,6.7,196.0,3.6,120.0,2,1440.0,3120.0,1.0,158.5,75.9,7.7,523.0,0,1,1,13040.0
3762,19,3,2,14990.0,4.0,128.0,3240.0,6.1,173.0,3.0,60.0,1,1170.0,2532.0,1.0,146.7,71.5,7.65,1375.0,3,0,2,10350.0
6841,187,2,2,5790.0,8.0,128.0,6000.0,6.68,199.0,3.0,90.0,1,720.0,1608.0,0.0,165.7,76.0,7.99,371.0,0,4,0,3540.0
428,24,3,4,22990.0,6.0,256.0,4325.0,6.7,203.0,3.6,60.0,2,2778.0,1284.0,1.0,160.8,78.1,7.8,1010.0,3,0,1,17690.0
5107,23,3,2,17990.0,6.0,128.0,3279.0,6.1,172.0,3.6,60.0,2,1170.0,2532.0,1.0,146.7,71.5,7.8,1010.0,3,0,2,11070.0
8815,118,3,2,6990.0,8.0,256.0,5000.0,6.7,192.0,3.6,90.0,1,1080.0,2340.0,0.0,164.4,77.9,7.9,218.0,0,4,0,4250.0
9792,104,1,2,6490.0,8.0,256.0,6000.0,6.72,196.0,3.0,90.0,1,1080.0,2400.0,0.0,165.69,76.22,7.99,218.0,0,4,0,4030.0
7638,210,2,2,4690.0,8.0,128.0,5030.0,6.79,205.0,3.8,90.0,1,1080.0,2460.0,0.0,168.6,76.28,8.3,371.0,0,4,0,2990.0
4210,25,3,2,22990.0,6.0,128.0,4383.0,6.7,201.0,3.6,60.0,2,1290.0,2796.0,1.0,160.9,77.8,7.8,645.0,3,0,2,15110.0
